month,commodity_name,avg_modal_price,avg_min_price,avg_max_price,state_name,change
01/03/25,Maize,2341.58,2191.23,2402.98,India,-14.43
01/02/25,Maize,2356.01,2202.35,2414.46,India,-26.19
01/01/25,Maize,2382.2,2221.31,2448.22,India,53.42
01/12/24,Maize,2328.78,2164.86,2411.66,India,55.32
01/11/24,Maize,2273.46,2077.63,2377.78,India,35.48
01/10/24,Maize,2237.98,1991.11,2378.7,India,-155.15
01/09/24,Maize,2393.13,2204.42,2479.21,India,-63.61
01/08/24,Maize,2456.74,2298.02,2506.37,India,118.68
01/07/24,Maize,2338.06,2206.41,2396.22,India,163.33
01/06/24,Maize,2174.73,2090.89,2250.66,India,14.27
01/05/24,Maize,2160.46,2061.65,2226.54,India,32.92
01/04/24,Maize,2127.54,2017.03,2206.96,India,-26.06
01/03/24,Maize,2153.6,2052.71,2220.01,India,4.19
01/02/24,Maize,2149.41,2070.78,2217.12,India,22.84
01/01/24,Maize,2126.57,2037.26,2199.37,India,34.51
01/12/23,Maize,2092.06,1974.47,2171.79,India,18.59
01/11/23,Maize,2073.47,1942.78,2161.7,India,108.41
01/10/23,Maize,1965.06,1814.11,2079.59,India,-59.23
01/09/23,Maize,2024.29,1931.95,2091.41,India,-120.95
01/08/23,Maize,2145.24,2058.22,2216.01,India,160.48
01/07/23,Maize,1984.76,1895.67,2052.89,India,113.4
01/06/23,Maize,1871.36,1779.53,1943.95,India,-19.11
01/05/23,Maize,1890.47,1778.3,1962.59,India,-114.79
01/04/23,Maize,2005.26,1893.06,2083.72,India,-88.09
01/03/23,Maize,2093.35,2001.72,2156.47,India,-11.49
01/02/23,Maize,2104.84,2021.08,2165.52,India,-22.89
01/01/23,Maize,2127.73,2043.07,2191.82,India,41.19
01/12/22,Maize,2086.54,1976.82,2163.54,India,78.58
01/11/22,Maize,2007.96,1859.58,2110.31,India,60.22
01/10/22,Maize,1947.74,1785.88,2080.91,India,-164.07
01/09/22,Maize,2111.81,2013.74,2188.37,India,-32.45
01/08/22,Maize,2144.26,2071.15,2207.29,India,77.75
01/07/22,Maize,2066.51,1992.18,2126.71,India,37.55
01/06/22,Maize,2028.96,1937.76,2096.14,India,-10.5
01/05/22,Maize,2039.46,1927.11,2117.36,India,-5.43
01/04/22,Maize,2044.89,1937.28,2114.7,India,65.84
01/03/22,Maize,1979.05,1885.57,2038.5,India,145.76
01/02/22,Maize,1833.29,1748.51,1885.44,India,114.33
01/01/22,Maize,1718.96,1631.08,1779.31,India,95.19
01/12/21,Maize,1623.77,1511.99,1701.58,India,29.07
01/11/21,Maize,1594.7,1462.78,1686.58,India,23.46
01/10/21,Maize,1571.24,1427.5,1676.66,India,-119.23
01/09/21,Maize,1690.47,1605.95,1759.23,India,-30.08
01/08/21,Maize,1720.55,1656.16,1771.47,India,58.77
01/07/21,Maize,1661.78,1593.82,1714.76,India,105.04
01/06/21,Maize,1556.74,1478.59,1619.4,India,39.91
01/05/21,Maize,1516.83,1438.34,1577.06,India,39.96
01/04/21,Maize,1476.87,1397.81,1531.92,India,63.43
01/03/21,Maize,1413.44,1339.53,1468.77,India,68.69
01/02/21,Maize,1344.75,1270.87,1406.19,India,-33.02
01/01/21,Maize,1377.77,1292.97,1441.08,India,-41.24
01/12/20,Maize,1419.01,1331.44,1486.44,India,3.77
01/11/20,Maize,1415.24,1312.63,1492.2,India,136.44
01/10/20,Maize,1278.8,1170.51,1367.06,India,1.75
01/09/20,Maize,1277.05,1200.01,1335.43,India,-27.84
01/08/20,Maize,1304.89,1240.11,1354.72,India,-33.26
01/07/20,Maize,1338.15,1264.87,1400.62,India,-29.55
01/06/20,Maize,1367.7,1286.61,1429.25,India,-17.21
01/05/20,Maize,1384.91,1302.49,1449.82,India,-162.66
01/04/20,Maize,1547.57,1482.92,1603.61,India,-31.16
01/03/20,Maize,1578.73,1488.21,1644.82,India,-126.06
01/02/20,Maize,1704.79,1617.94,1769.73,India,-147.96
01/01/20,Maize,1852.75,1755.93,1925.09,India,-10.1
01/12/19,Maize,1862.85,1741.04,1951.44,India,122.05
01/11/19,Maize,1740.8,1590.02,1849.62,India,-119.65
01/10/19,Maize,1860.45,1734.08,1957.46,India,-111.6
01/09/19,Maize,1972.05,1890.36,2035.45,India,-28.74
01/08/19,Maize,2000.79,1929.09,2055.92,India,33.11
01/07/19,Maize,1967.68,1895.91,2023.01,India,73.56
01/06/19,Maize,1894.12,1818.05,1948.43,India,-38.06
01/05/19,Maize,1932.18,1852.22,1986.05,India,-19.51
01/04/19,Maize,1951.69,1876.09,2007.18,India,105.86
01/03/19,Maize,1845.83,1775.69,1892.1,India,6.55
01/02/19,Maize,1839.28,1768.78,1890.24,India,151.49
01/01/19,Maize,1687.79,1617.75,1736.52,India,110.09
01/12/18,Maize,1577.7,1495.68,1636.56,India,151.56
01/11/18,Maize,1426.14,1338.83,1489.16,India,31.18
01/10/18,Maize,1394.96,1304.01,1462.09,India,11.24
01/09/18,Maize,1383.72,1327.93,1431.9,India,30.15
01/08/18,Maize,1353.57,1303.35,1393.69,India,39.81
01/07/18,Maize,1313.76,1261.19,1353.54,India,16.06
01/06/18,Maize,1297.7,1240.85,1339.61,India,20.64
01/05/18,Maize,1277.06,1222.73,1312.2,India,23.28
01/04/18,Maize,1253.78,1198.34,1290.82,India,9.65
01/03/18,Maize,1244.13,1191.23,1282.58,India,-10
01/02/18,Maize,1254.13,1200.15,1292.59,India,6.79
01/01/18,Maize,1247.34,1193.21,1285.79,India,6.96
01/12/17,Maize,1240.38,1175.67,1286.28,India,15.81
01/11/17,Maize,1224.57,1145.43,1275.37,India,-52.64
01/10/17,Maize,1277.21,1194.72,1335.43,India,-74.7
01/09/17,Maize,1351.91,1293.55,1402.65,India,-35.94
01/08/17,Maize,1387.85,1341.81,1432.19,India,-3.96
01/07/17,Maize,1391.81,1339.89,1441.93,India,-0.49
01/06/17,Maize,1392.3,1328.94,1434.78,India,-29.42
01/05/17,Maize,1421.72,1357.38,1463.27,India,-3.6
01/04/17,Maize,1425.32,1361.21,1462.5,India,-1.93
01/03/17,Maize,1427.25,1369.24,1459.29,India,-4.35
01/02/17,Maize,1431.6,1368.55,1464.69,India,14.77
01/01/17,Maize,1416.83,1351.58,1452.8,India,26.34
01/12/16,Maize,1390.49,1323.81,1582.8,India,9.62
01/11/16,Maize,1380.87,1308.5,1426.75,India,-38.65
01/10/16,Maize,1419.52,1326.87,1486.69,India,-115.28
01/09/16,Maize,1534.8,1468.19,1602.06,India,-33.58
01/08/16,Maize,1568.38,1514.95,1618.27,India,1.34
01/07/16,Maize,1567.04,1511.63,1624.15,India,49.55
01/06/16,Maize,1517.49,1457.75,1568.78,India,71.72
01/05/16,Maize,1445.77,1387.71,1482.79,India,16.27
01/04/16,Maize,1429.5,1371.41,1462.8,India,-16.47
01/03/16,Maize,1445.97,1394.24,1480.71,India,-1.63
01/02/16,Maize,1447.6,1396.23,1485.63,India,-0.53
01/01/16,Maize,1448.13,1396.29,1486.44,India,10.34
01/12/15,Maize,1437.79,1380.09,1479.92,India,39.91
01/11/15,Maize,1397.88,1339.41,1444.45,India,21.97
01/10/15,Maize,1375.91,1310.7,1430.19,India,-29.09
01/09/15,Maize,1405,1350.41,1449.19,India,52.99
01/08/15,Maize,1352.01,1307.56,1387.66,India,35.8
01/07/15,Maize,1316.21,1267.93,1351.4,India,33.53
01/06/15,Maize,1282.68,1227.51,1316.31,India,-1.57
01/05/15,Maize,1284.25,1227.09,1312.49,India,-11.82
01/04/15,Maize,1296.07,1243.67,1326.77,India,2.38
01/03/15,Maize,1293.69,1244.09,1326.79,India,30.91
